"id","category","description","name","price","restaurant_id"
427,Coffee and Tea,"","2 Idli",150.0,13
428,A FEW MORE ,"",Podi Idly,20.0,13
429,Acai Bowls,"",Sambhar Idly,200.0,13
430,"6"" Hot Subs","",Onion Idiyappam,200.0,13
431,Soft Drinks,"",Butter Idiyappam,130.0,13
432,A FEW MORE ,"",Egg Idiyappam,20.0,13
433,Acai Bowls,"",Chicken Idiyappam,20.0,13
434,Bowls,"",Egg Masala,200.0,13
435,Bowls,"",Kal Dosa,190.0,13
436,Soft Drinks,"",Uthappam,40.0,13
437,Sliders,"",Plain Dosa,180.0,13
438,"6"" Hot Subs","",Masala Dosa,170.0,13
439,Sliders,"",Onion Dosa,140.0,13
440,"6"" Hot Subs","",Podi Dosa,90.0,13
441,Coffee and Tea,"",Onion Uthappam,50.0,13
442,Veggie Cravings,"",Ghee Dosa,210.0,13
443,Veggie Cravings,"",Butter Dosa,190.0,13
444,Veggie Cravings,"","3 Poori",230.0,13
445,Sliders,"",Pongal,120.0,13
446,A FEW MORE ,"",Butter Uttapam,80.0,13
447,Bowls,"",Egg Dosa,120.0,13
448,Veggie Cravings,"",Chicken Curry Dosa,100.0,13
449,Acai Bowls,"",Mutton Curry Dosa,250.0,13
450,Acai Bowls,"",Half Boiled Egg,240.0,13
451,Acai Bowls,"",Omelette,190.0,13
452,Soft Drinks,"",Kalakki,130.0,13
453,Signature Poke Cold Bowls,"",Pav Bhaji Dosa,210.0,14
454,BFF Simples,"",Masala Dosa,250.0,14
455,Take Out Entrees,"",Cheese Masala,230.0,14
456,Footlong Cold Subs,"",Mysore Masala,70.0,14
457,Signature Poke Cold Bowls,"",Cheese Mysore Masala,20.0,14
458,BFF Simples,"",Plain Dosa,200.0,14
459,BFF Simples,"",Schezwan Plain Dosa,220.0,14
460,BFF Simples,"",Cheese Plain Dosa,200.0,14
461,Take Out Entrees,"",Paneer Plain Dosa,20.0,14
462,Footlong Cold Subs,"",Cheese Paneer Plain Dosa,70.0,14
463,Take Out Entrees,"",Onion Plain Dosa,70.0,14
464,Footlong Cold Subs,"",Schezwan Onion Plain Dosa,230.0,14
465,Signature Poke Cold Bowls,"",Cheese Onion Plain Dosa,20.0,14
466,Take Out Entrees,"",Paneer Onion Plain Dosa,120.0,14
467,BFF Simples,"",Cheese Paneer Onion Plain Dosa,120.0,14
468,BFF Simples,"",Schezwan Masala Dosa,50.0,14
469,Footlong Cold Subs,"",Cheese Masala Dosa,120.0,14
470,Take Out Entrees,"",Paneer Masala Dosa,180.0,14
471,Take Out Entrees,"",Cheese Paneer Masala Dosa,70.0,14
472,Take Out Entrees,"",Cheese Schezwan Masala Dosa,210.0,14
473,Signature Poke Cold Bowls,"",Paneer Schezwan Masala Dosa,240.0,14
474,BFF Simples,"",Cheese Paneer Schezwan Masala Dosa,170.0,14
475,Take Out Entrees,"",Mysore Masala Dosa,220.0,14
476,BFF Simples,"",Schezwan Mysore Masala Dosa,140.0,14
477,BFF Simples,"",Cheese Mysore Masala Dosa,100.0,14
478,Footlong Cold Subs,"",Paneer Mysore Masala Dosa,50.0,14
479,Take Out Entrees,"",Cheese Paneer Mysore Masala Dosa,20.0,14
480,Footlong Cold Subs,"",Pizza Dosa,30.0,14
481,Signature Poke Cold Bowls,"",Jinni Dosa,80.0,14
482,Signature Poke Cold Bowls,"",Spring Dosa,180.0,14
483,Take Out Entrees,"",Cheese Paneer Spring Dosa,140.0,14
484,Footlong Cold Subs,"",Dilkush,170.0,14
485,Take Out Entrees,"",Cheese Paneer Dilkush,190.0,14
486,Footlong Cold Subs,"",Cheese Chilli Dosa,210.0,14
487,BFF Simples,"",Paneer Chilli Dosa,250.0,14
488,Take Out Entrees,"",Cheese Paneer Chilli Dosa,250.0,14
